timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
0,144.13552399810436,176.79987553391308,150.82238527575484,159.16445392341606,RESTING,144.44077885224573,175.74018968943773,154.1252347158851,159.30896553461983
33,148.7053768776965,172.59965988521546,168.60727973382237,160.49034647174756,RESTING,148.49672354800833,174.29339433109112,163.36326999814472,159.96808090038672
66,151.72998081080152,172.7812281015318,170.0304495651203,159.45702300086154,RESTING,151.418870542087,173.13092348043716,169.08852093496364,160.98934680123355
100,153.81100700900146,173.0277237639705,170.55395191117606,163.32632506842913,RESTING,153.38755083273145,172.219496100926,171.9905077984974,162.1106712693242
133,154.16380002633062,171.5238774874115,171.17650656668718,164.14929200353924,RESTING,154.58309541819145,171.5258311560077,172.7587508609016,163.06996233682256
166,154.81231001936584,171.5270520201266,170.7297631295821,164.099054741962,RESTING,155.18583529671702,171.01664760913286,172.08277039433221,163.60512803589288
200,155.1626424577868,171.05330090221582,170.02968051978056,161.2230732230139,RESTING,155.4142454044058,170.86999254865805,170.5098168277866,162.86993315541565
233,155.1697831574313,170.18144904007977,170.19737088549547,161.48620296739105,RESTING,155.47455399407764,170.32971578510208,170.23809865465665,161.36814992389182
266,155.66058102471092,169.6393383447141,169.79695805303712,159.9850962712472,RESTING,155.547664296037,170.02840526723935,170.00076295484473,158.01188782634907
300,155.88743227260682,169.78610953466674,169.68002653609443,159.46009015816603,RESTING,155.73182946745473,170.04111359577223,169.7582522873078,154.63433531155158
333,155.11969663237159,170.57952896873672,169.77742303608616,149.0734970704955,RESTING,155.58795195876746,170.18805938754326,169.5395309084769,152.69274054982662
366,155.22574659467207,170.13224114727203,169.65784160669023,149.82808637084773,RESTING,155.18369698930854,170.489490588573,169.27302642514525,152.20082520128574
400,155.18014873486914,171.2321137054978,169.2199353569012,147.559516015421,RESTING,154.66159564682715,170.66018987121942,168.92671528532233,152.68077621961072
433,154.18624997467026,171.51306108353572,168.8520501324001,154.44309561408878,RESTING,153.88706104177095,171.06977349616653,169.08959894177616,154.7911791204518
