timestamp_ms,right_knee_angle,left_knee_angle,torso_angle,fsm_state,right_knee_angle_smooth,left_knee_angle_smooth,torso_angle_smooth
0,162.3950099878373,154.15791186793734,170.17516462899863,RESTING,161.9590045595022,152.41708004715645,168.25966538419152
33,161.33149389278262,151.76792477580614,170.57536902909098,RESTING,162.44489862340944,155.10710139752265,173.16681186002188
66,161.77912768693875,155.64819094485958,170.32401554331184,RESTING,161.16722894868096,155.36348434639146,172.6020806097633
100,158.436769672718,154.20680291637797,169.08374527893488,RESTING,158.3876259813135,153.5738736444443,167.674895126019
133,155.7248985166255,152.5918750689165,162.98448685782256,RESTING,154.36772016730384,150.12591404236252,159.49467890139223
166,146.79630751573092,144.5353217755794,149.4039992485955,RESTING,149.3691419526491,145.4072502908279,149.17085542848645
200,143.96179659341698,136.84453055126176,136.8476710830825,ACTIVE,144.14430611633892,140.2264699161486,139.80535995557406
233,140.0531556786916,138.44736401912135,124.34636863640125,ACTIVE,137.98819070678312,134.14442590048193,129.28586936408715
266,129.22384475056316,123.39203388397793,115.39006236164475,ACTIVE,131.2450377873231,127.99086394622793,117.98833602957086
300,124.80577791079706,122.92839676777884,111.54962741029854,ACTIVE,124.61358695743483,121.72489206717522,107.16014043567448
333,119.11507176735425,116.39113369503785,103.31879307298189,ACTIVE,117.44465219161813,115.75936479403894,97.05597396560091
366,108.73046875820843,111.50278792978412,85.4377359656068,ACTIVE,109.22111289770035,109.55331332362063,87.31037560637687
400,100.81527919894904,103.11190299059898,74.25921635734157,ACTIVE,100.88232696179806,103.84200996056879,77.56859575197939
433,95.7103154923495,97.72780684496416,67.24122045865472,ACTIVE,93.9096023020133,99.54292315135442,68.63801194035963
466,83.93553050863927,93.17052521032946,60.38700457005099,ACTIVE,86.37819827256186,94.71595107684502,60.64400503415581
500,79.0897631855912,91.04461103083635,56.04223709861215,ACTIVE,79.51472086072981,90.28928168807525,54.704695112027174
533,74.4330087826183,90.4635310151152,50.89169162575384,ACTIVE,74.32828309514261,86.77034103181182,51.657686510519774
566,73.33224727201251,83.86857892142092,51.30510023832731,ACTIVE,70.05716118424513,84.34720118060737,49.640284097869646
600,65.47116862885828,82.72278008494449,47.44649523058163,ACTIVE,67.00149632617543,82.27896753121179,48.096270530543435
633,65.7883694478348,78.76569059853489,47.42150371278306,ACTIVE,67.38229089754462,82.13753975406053,48.842186113109264
666,69.25551305901078,83.9817063176554,52.162761766750926,ACTIVE,68.64072931001172,83.94465212200578,50.4429681086865
700,71.45827347658924,85.87722180215565,53.6972232256662,ACTIVE,73.67660762832554,87.60520892615352,53.74241336022708
733,78.78230777703727,91.08416943754087,56.58838272937325,ACTIVE,81.19096536853746,93.04247903484175,58.91875432658934
766,92.41485265447861,102.4250617325423,68.16280103739679,ACTIVE,90.88060974005334,99.37751850757658,65.9257285988883
800,97.75237922554756,107.33238843717538,70.90528736203332,ACTIVE,101.22863450456208,105.5949628843073,73.94084077372649
833,116.51069666870104,110.67438131598135,83.61311255980306,ACTIVE,110.38310887695135,109.52045588519755,82.92570020489406
866,119.84875630662638,114.57668127551808,95.10033754763518,ACTIVE,117.25249542426437,112.95520613477868,91.71079175893594
900,125.518492873682,119.47559456399462,102.48941353357837,ACTIVE,123.4575534796194,117.36094451704969,102.49681589098168
933,131.1472360652988,118.18464079383445,113.58149936194846,ACTIVE,130.04174448738345,122.66198681251129,114.64423339507871
966,128.62189652625756,121.18754420513112,123.9551266243228,ACTIVE,137.2769216970071,129.47495025803474,128.02159701598447
1000,135.42826417811398,135.14779498640306,133.17787402215222,ACTIVE,142.74038632199438,136.29298047502857,140.05133399571213
1033,154.74328936946063,150.4521263542879,158.6162762419529,ACTIVE,149.22963214042665,142.39668199531488,150.75185049530094
1066,162.60767279717192,152.8305360230879,166.26098915355647,ACTIVE,154.63138930562593,147.6010323300365,159.78720635291825
1100,161.04399739135025,152.4128789451633,167.7123346354193,RESTING,158.64687057511742,151.85900034615054,166.5833426753033
1133,158.1373292509004,150.43366783922255,168.446060084997,RESTING,161.8607904476141,153.9021927277146,170.67370232027827
1166,161.26370466870688,151.11535851171936,168.51834717013526,RESTING,161.31828089230987,152.95133594472446,171.17075166202676
1200,160.26698268427236,152.78986953684844,170.747065750438,RESTING,160.4854497805125,151.86798221480862,170.5426717466174
1233,160.4556549782523,154.05092013347678,172.5095089476708,RESTING,160.32940547021752,151.64109857553836,169.63718162576146
1266,164.20720496976207,155.31502798061686,169.49361165088163,RESTING,161.81725631942072,153.25965206448524,169.3020003511706
1300,164.53405281259165,155.5078763415352,169.4668742536908,RESTING,165.91611068611792,157.71260971922084,170.38484697455638
