timestamp_ms,right_hip_angle,right_knee_angle,fsm_state,right_hip_angle_smooth,right_knee_angle_smooth
0,68.006351083305,88.42271302004346,STANDING,67.19651752580509,87.032132463788
33,61.02956217388214,84.66655227168536,DESCENDING,61.45715150169519,85.74416488806682
66,54.582154432183685,83.70622116230334,DESCENDING,57.36692312831644,86.0102745798751
100,56.42446982694507,87.56273195500646,DESCENDING,54.67778189495603,87.38469796090969
133,55.341831103169184,91.35814668240397,DESCENDING,53.14167729090115,89.42167145286749
166,51.82627677157481,92.08140926931594,DESCENDING,52.510558805439196,91.67543147744563
200,51.65014485133307,94.70121753071972,DESCENDING,52.7612240047318,93.55402827684478
233,52.90619254694537,94.70255662031963,DESCENDING,53.03951040058307,94.26350187671494
266,53.162954002457546,94.20268170284264,DESCENDING,52.80932555677802,93.60898046112621
300,54.643628561064475,92.46653716342065,DESCENDING,53.1829538518289,92.86115686400532
333,54.1740399403663,91.96524136127083,DESCENDING,53.79030309053225,91.99718561485729
366,53.20536747078645,90.04487902559563,DESCENDING,53.7760970749694,90.9037660210573
400,54.05095134819774,90.06929679111366,DESCENDING,53.74224614990071,90.68602943637727
433,55.194512250479605,92.28113669358395,DESCENDING,55.09866367755497,91.38794886786309
466,55.764730171795975,91.05656591944908,DESCENDING,56.83787854820173,92.20552373508337
500,57.220655201199634,93.00030976410244,DESCENDING,59.468610961335926,93.24852987114423
533,62.76715452018255,96.84050480313545,DESCENDING,62.394262531054245,94.63581327578618
566,69.64590657114306,97.95524205603992,ASCENDING,65.54766521694276,96.2558539556654
600,68.58471425093678,96.72871940274818,ASCENDING,69.53579576606586,99.12128832408163
633,72.94579656497123,101.38161481983738,ASCENDING,73.97512754976424,103.62902535745943
666,75.89821522617876,105.9520776899601,ASCENDING,77.9112724182132,107.96474622363718
700,81.8989955172307,112.81194067470071,ASCENDING,80.93191649592123,112.11625775301086
733,88.18767706356485,121.33739322893753,ASCENDING,84.59460906843235,116.78536435133677
766,90.23973934265688,124.1103121134654,ASCENDING,90.3199029350142,121.8426129030058
800,91.98989861122502,122.50058727870287,ASCENDING,95.46629841910465,125.9307480755773
833,97.86392040191085,126.35061884113418,ASCENDING,100.48943304750841,129.288236761076
866,109.04136667261803,132.56196468715723,ASCENDING,104.93380369111364,130.74004774080964
900,116.90442193347113,136.67376476584047,STANDING,111.50620080126274,132.96171192061385
933,116.65555151327528,136.52294984191118,STANDING,120.92679562419585,136.4085391756228
966,124.88488841918198,137.387316484318,STANDING,131.248120910251,140.38461123248328
1000,136.7032448597488,138.42446635760487,STANDING,141.3899436954468,143.99716642167232
1033,157.397076259678,151.65914419306023,STANDING,151.38379303426007,147.54635890467085
1066,167.02821176286992,153.30339773969678,STANDING,161.06501026960703,151.43405636487373
1100,169.04014603885847,155.47688886876043,STANDING,169.56380164765267,155.3016347824485
1133,173.77264357209063,158.2646944841654,STANDING,174.83327349568737,158.31512112152137
1166,177.7764887434852,159.62111680955005,STANDING,177.19627960832958,160.0422273286589
1200,176.79005247092132,160.50350478896416,STANDING,177.0970523050674,160.0095246328928
1233,176.7148960421757,160.30901996153463,STANDING,177.103407934392,160.4613723961104
1266,176.79036700539814,160.5658641051911,STANDING,177.12605006048955,160.47897672974767
1300,176.24616130811614,160.02356674849457,STANDING,176.522967403688,160.1491020164221
1333,175.52104739900938,159.61198475177773,STANDING,175.9966452727911,159.97228441246287
1366,175.97359425710894,159.79708857711134,STANDING,176.03587054915693,160.00613296989107
1400,176.1003409833273,160.00004266735505,STANDING,175.94442675379136,160.20292377145944
1433,175.94103198906515,160.0667395098748,STANDING,175.93144858401894,160.40889783085586
1466,176.16777252349684,161.17253506238862,STANDING,176.0643222536904,160.6871861530642
1500,176.3405105206807,161.29435596885534,STANDING,176.1939833687697,160.85012621754797
