timestamp_ms,right_torso_angle,left_torso_angle,fsm_state,right_torso_angle_smooth,left_torso_angle_smooth
0,124.1492169063936,135.6135276979498,STANDING,124.5255500737226,135.6095089729702
33,126.2954733753397,136.83256388830216,STANDING,125.88765613023862,137.02454562774318
66,127.27927838545433,138.26062638758793,STANDING,126.75203102751605,138.00434862298573
100,126.85209509145317,138.73913088231183,STANDING,127.20247187819209,138.61851558025666
133,127.13756139684237,138.9376471579286,STANDING,127.32277579490395,138.93664412111465
166,126.89508657310878,138.81358625091735,STANDING,127.19673989028914,139.02833186711894
200,127.00888622188873,138.71438355491276,STANDING,126.85297373939838,138.97182754316856
233,126.49942540333659,139.0044711520397,STANDING,126.52312749540992,138.8081762227269
266,126.34175704642611,138.70660864093995,STANDING,126.2690003405249,138.69126863278228
300,126.24727826672463,138.66577665510349,STANDING,126.07552229396671,138.660035667133
333,125.51823114827324,138.39695373906625,STANDING,126.08402418819026,138.6858402691268
366,125.66639139456689,138.62773458738047,STANDING,126.2573593718976,138.83426365143836
400,125.99365562044757,138.7158721302985,STANDING,126.22508939412273,138.90784003418466
433,126.5088888420619,138.9724470383531,STANDING,125.97840376550029,138.82193785069796
466,126.14123551527817,138.74084747533672,STANDING,125.32235954898253,138.6817156309546
500,124.87393685627049,138.51949720895155,STANDING,124.38094333277128,138.1776046117153
533,121.8435475476333,136.7825015575928,STANDING,122.83203790033035,137.01369715244635
566,120.53112866781656,135.18238515607564,STANDING,120.6991911098225,135.20010012829573
600,117.71639076700514,133.9597629878944,STANDING,117.44128704182702,132.73859107709274
633,115.47507094400508,129.97439668151907,STANDING,114.23374350376406,129.84815403710977
666,111.26937657424278,126.20956681574562,STANDING,111.18835924203259,126.88386423960087
700,106.8890172259277,123.04051194152035,STANDING,108.07564160087048,123.97191638314875
733,101.81417517181444,120.02726908475438,STANDING,104.36821412571378,120.75516481075977
766,102.7391068502387,117.54808567358754,DESCENDING,100.70271695674035,117.6114592413954
800,98.50479413053469,115.11206864080958,DESCENDING,96.64766586461673,113.88813294090954
833,92.80346020557955,110.50892149803772,DESCENDING,92.64150756108725,109.52772394766546
866,87.55123956787206,104.88364522349022,DESCENDING,88.61563410565492,104.50029553979499
