timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
0,155.65127438813917,172.76371884290063,174.82302642106413,174.7573914563315,RESTING,155.49806135222605,172.65665185003954,174.7387011507619,174.80927748057434
33,154.3055187620361,171.6738299896306,174.88833144105746,174.79300099452158,RESTING,154.6234394952703,171.79730786739304,175.1467943823046,174.71702246327615
66,154.1349865139991,171.13236091396746,175.74330381710047,174.6970741915689,RESTING,154.04624689821603,171.11905518112047,175.51777439286013,174.63498932760083
100,153.85904863138214,170.35637126824483,175.9119292209042,174.4673853564576,RESTING,153.71466271064133,170.59504068724652,175.8479508340061,174.5653571560216
133,153.47627785246056,170.3309203530474,175.99700035144298,174.50637606644742,RESTING,153.57686608212427,170.19841128179576,176.13363335731998,174.51030503101174
166,153.5573515744056,170.14209626143028,176.232187699065,174.455631177855,RESTING,153.58103616224327,169.90231386079324,176.3711316143798,174.47201203504494
200,153.80762205260916,169.73221800497092,176.76020119316806,174.45054066107562,RESTING,153.67447835931358,169.6521158815808,176.55427960681794,174.4528230439412
233,153.82437528251563,169.3794176003112,176.71809279070587,174.50166086842165,RESTING,153.73812944057556,169.4542400831579,176.63879414228379,174.47305426915642
266,153.86378725672202,169.29062734908172,176.7336980803899,174.4918734645477,RESTING,153.81655935371086,169.3396170323479,176.72893916279483,174.5150947352345
300,153.8599320176889,169.07856091273234,176.6510404266703,174.5016216071858,RESTING,153.92704314213765,169.20466226058,176.79207228511666,174.535875617417
333,154.00924565447093,169.0976693983913,176.77053250936936,174.61117817444963,RESTING,154.00769351407007,169.15639926063517,176.79475120298653,174.5526727569323
366,154.08309049149716,169.33480706180933,176.82024909327546,174.58309234452085,RESTING,154.065108116996,169.17311390829246,176.74257866735513,174.55945904367934
400,154.02459977451161,169.28769685115967,176.7194434521007,174.5681327653774,RESTING,154.14419845451002,169.204726847043,176.75986966278364,174.55747142563445
433,154.33834408124713,169.18401357006837,176.80938347758126,174.5245546158361,RESTING,154.23235310734935,169.23355605044253,176.74947023409413,174.54512210558778
466,154.34209342083673,169.277454148948,176.70086220897232,174.49088214032486,RESTING,154.27483229762444,169.278081335512,176.7367900779562,174.52496860116315
500,154.2632604507431,169.24964246647664,176.6523328313252,174.52161696465592,RESTING,154.3027169550146,169.29792206511888,176.71033207753098,174.50151469462645
533,154.3544671092015,169.28660123485366,176.79028865387187,174.4996347380964,RESTING,154.3454305046778,169.3103530709809,176.70460209775513,174.48570784811653
566,154.37995530520595,169.3671842373753,176.6020754698687,174.45498223979703,RESTING,154.35302034181095,169.32825386163017,176.65765237738088,174.4679794403807
600,154.2277663852164,169.4010664778892,176.693535298988,174.4941091659943,RESTING,154.35301216896147,169.34872600124697,176.64204573577274,174.46416497236038
