timestamp_ms,right_shoulder_angle,left_shoulder_angle,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,fsm_state,is_aligned,right_shoulder_angle_smooth,left_shoulder_angle_smooth,right_elbow_angle_smooth,left_elbow_angle_smooth,right_knee_angle_smooth,left_knee_angle_smooth
66,35.91361777813853,160.89157338549288,123.01233456370795,79.66999917567237,142.4708064647277,151.85307528120498,ALIGNING,True,35.48039374896063,159.85800866489745,124.26080879432467,77.92075027615607,142.75860162654155,152.26941325160715
100,31.140139581117932,154.7026382603548,131.70352551375794,68.22448329533113,144.47050605128604,154.37556918552497,ACTIVE,True,31.834538471445853,156.15590052648304,130.12432588665382,70.86164435261027,144.4832310349494,153.96150010141085
133,28.95240792716373,152.8669096378927,134.82238983456222,65.1336852100408,146.49423579631647,155.45972100956868,ACTIVE,True,29.234555285686753,153.93275366662832,133.9030516942641,66.43409438783533,145.49261084658872,154.97835024837497
166,28.07797160585048,154.3124551646707,135.78128288875908,66.06990625697952,145.83202252414583,155.48029463718242,ACTIVE,True,27.51748495961086,152.8724171147621,135.98173987906077,64.0979070235167,145.93898207412192,155.4544756522635
200,26.747388061949117,152.93120701457798,135.88798726447854,63.99320117839215,145.19993586459395,155.09946434289012,ACTIVE,True,26.520368261145723,152.65873990031315,136.74514410294913,63.312888901339775,145.97458573021143,155.52438827284035
233,25.815101888068938,153.19121476114645,135.7106467443827,63.75021620536014,145.6174651645751,154.97078266163206,ACTIVE,True,26.080245958218953,152.97557105271062,136.57801802783476,63.538846662990096,145.75166282752008,155.3226000698699
266,26.17021082850133,153.43539373519357,135.36492100417536,64.16799613844347,145.45873592324347,154.75831545250506,ACTIVE,True,26.07338478652189,153.34480229831826,135.8928570105815,64.11040756145192,145.4525361915768,154.9886281322438
300,26.311827002250926,153.94803641655935,135.50601427904112,64.82794034137608,145.0859542698884,154.8781781998222,ACTIVE,True,26.097317718220648,153.36225093675856,135.46117152009214,63.96367912544217,145.25794186247097,154.81185557019933
333,26.257231764662748,153.50657379199188,135.12703462529328,64.29380580727474,145.56745527016776,154.77554259341974,ACTIVE,True,26.1793315223726,153.08084909298623,135.09479158464143,63.441528760258066,145.4115596445048,154.74691565132213
366,26.453036132959465,152.83401813018492,134.98374419326575,63.000050473083995,145.35460156168668,154.70818554946436,ACTIVE,True,26.384008268562084,152.95662168746662,134.79364115013206,63.02672038640861,145.68308703791067,154.74189810004845
400,26.71570696036508,151.90091807686335,134.4406023543782,61.68906811412551,145.8708671755501,154.64408434724365,ACTIVE,True,26.589708612035082,152.662659358604,134.55269255485376,62.34631690239645,145.98827128078304,154.7052220712738
433,26.63832874213878,152.8553924463377,134.09387641690066,61.787692272330496,146.4246072348059,154.82676897924838,ACTIVE,True,26.653089866078744,152.43508082156723,134.34960117341285,61.54856292376037,146.3931767833567,154.71159656033467
466,26.637394502674432,152.27086990412022,133.782174422911,61.15982438594235,146.77494578634165,154.54151281004087,ACTIVE,True,26.70654705781325,152.36793763612502,134.04681629446551,61.17639368521989,146.9321523188281,154.70351896692773
500,26.804006881854388,152.38666463956244,133.85182237615845,61.081947732912546,147.23239013287582,154.53297436546177,ACTIVE,True,26.71687357318114,153.07219237958148,133.42420461057938,61.35101838716531,147.30803005177506,154.59552718194698
533,27.02969197656641,152.86821889995994,133.6033895406104,61.714995615942804,147.23044529900636,154.35527188347623,ACTIVE,True,26.030867168595286,155.51429380120743,133.4157040117562,62.736328713411154,147.56751961871893,154.3978123667041
566,26.851914862215278,153.44529378455528,132.95112177838035,62.78339451781028,146.9055291602748,154.32669624046173,ACTIVE,True,25.720188961593976,158.66489515507322,133.15230869153595,64.06478481111671,148.05115518767695,153.90055236050267
600,27.055636888564013,153.9859509048896,131.82942144330573,65.51603832038975,146.51067783999858,153.63439057686978,ACTIVE,True,27.407291531808273,156.37419836925187,134.1420426492794,65.9997531084163,145.83254638401414,153.2654797853467
633,27.47822309959905,154.36829326972276,131.0146990558069,66.76211004620897,144.03638238552242,152.53246684035818,ACTIVE,True,30.3647222293726,147.7452698474483,134.66081911804181,59.40863059735786,141.84764571365523,152.43372535493458
666,28.581667818474187,148.8466614677699,133.48929032719656,68.99731798732931,140.93468162576116,151.899216852576,ACTIVE,True,34.032429525692045,132.57545675843213,130.6848178982341,60.067073865912356,136.71627824231513,151.71357933767553
700,38.244792120662375,123.16084220966388,128.07621210547308,63.56777298502866,135.2806886752491,150.62524344411824,ACTIVE,True,38.05148862489922,111.79240499319138,125.26489324132311,65.50171044583286,130.10166732617154,151.34053371513795
733,47.120061970200624,77.66994239298114,126.72414088917023,62.41342403219749,118.76850606111958,150.99053536335924,ACTIVE,True,41.677354925070865,88.70807891295587,115.86345131894421,75.35797164155554,126.05099964020373,151.68243229132
766,44.9478738954528,55.15694644529818,106.40046880155559,49.7332048487872,120.80508140015375,150.92460247037505,ACTIVE,True,42.728615360740186,65.0702004341123,101.92742785826863,90.36326330663573,125.3176969382454,152.22817062670197
800,42.60311931195847,39.15667887387557,83.02773114778026,131.39196986805484,122.64584172952878,153.0185411960111,ACTIVE,True,40.9540312473716,45.62619124713154,87.82743619418197,102.79684824602744,127.50930542816485,152.6750441009761
833,38.99040078517878,30.277462837213104,85.64102126215484,128.79368423471877,126.84967667093944,154.23629726733444,ACTIVE,True,36.68599216606823,32.99106890073103,83.09612382866985,115.63613985764036,132.25910020366194,152.74239185277162
866,31.126141001601013,31.542614407879487,69.75112386397407,133.34398051918606,147.83006830153522,154.85668953009565,ACTIVE,True,30.0741582594474,29.373768114910344,88.16458313249015,123.08446686672164,138.88034572629425,152.43729645013545
900,19.322806298555246,29.94232028288376,76.93277275019894,130.67668944378352,152.0064793230407,151.5108564882598,ACTIVE,True,24.024524206134988,33.29865901446969,100.69839707799437,116.58552802507086,146.290535011572,151.4721411615538
933,16.947506939461228,40.19335861038666,116.01855067550106,98.17771830393842,151.43919531517173,150.03958030870965,ACTIVE,True,20.338995630118266,37.428471105171916,115.98821743507719,108.74200711606605,150.96258090266227,150.91458228049086
966,17.381171209742437,41.780720733648934,165.25591985644184,104.04035359991173,152.74943646541226,149.3971974434919,ACTIVE,True,18.449548114041264,40.35136007103692,140.97591748246697,96.42554839585657,154.19509180138522,150.84120060100938
1000,18.06823585824799,46.22486588357363,165.89678951707293,73.09489975523867,152.8389671429985,150.20182366554084,ACTIVE,True,18.582977697204115,41.175764996309084,155.5775282793863,97.21070487528891,155.55168096366725,151.8116984970307
1033,23.00209474894412,46.8355788978268,159.76005115863012,66.59359754484694,153.43760206800627,152.29994871800596,ACTIVE,True,21.228891783813594,40.1436077949323,160.61286482731532,103.97029651832946,153.94885139431847,154.15449045366321
1066,25.71669125554887,34.89391553226667,148.61112621367764,136.8301491467206,153.1873225945112,158.33258922717113,ACTIVE,True,24.967376766558854,36.755780414221945,151.38199536364368,119.81162457944255,152.65441018251826,157.23218295777878
1100,27.35749290807207,27.357375324194884,172.84005440648147,146.3515090483761,153.5265933537682,160.91528050391454,ACTIVE,True,27.98511694755215,32.36352609433189,131.20848671523555,133.99967621451583,150.7546292552335,160.0558615202622
1133,29.397556426438133,27.68991658725651,88.52977934013599,153.48440159316482,150.91427923559792,163.2423330531079,ACTIVE,True,30.4626785619408,29.635970360124624,109.91656008484964,138.98822700417415,148.27726325757314,161.98639217499118
