timestamp_ms,right_knee_angle,left_knee_angle,torso_angle,fsm_state,right_knee_angle_smooth,left_knee_angle_smooth,torso_angle_smooth
0,164.00939731885015,165.39925791242487,167.26693891734223,RESTING,162.8674600369219,165.6273964635864,166.90800276804265
33,164.0951176671295,165.56998131684662,166.26000421277885,RESTING,165.29654946371974,165.50390431650757,167.03545999348017
66,164.68279955100215,165.5236166148442,165.74428083300432,RESTING,166.1741003988046,165.24363143376294,166.12944135258377
100,165.2305662912266,165.21643966295414,165.03997260052088,RESTING,165.66520666134247,164.78253238797228,164.31791965699307
133,165.82795283418483,163.99375650704624,163.10348789379472,RESTING,163.93496207049944,164.0565617517553,161.72886771834774
166,165.51692841677897,162.51527914698966,158.68959212825544,RESTING,161.14846044544194,163.0016740977321,158.49025834828774
200,152.8681563958735,160.83371350949574,151.7890408133612,RESTING,157.90187540764293,161.96420702010607,155.09668840150084
233,152.54618073328848,159.6096957304149,151.21769516814214,RESTING,152.8113213092277,159.688529329312,150.56392604224325
266,147.949526054301,158.4033817013743,146.65166890308285,RESTING,147.560197944906,157.18856589150954,145.8908503708563
300,144.18672802153608,154.0679100653469,142.62204100265686,ACTIVE,142.40379499416815,153.42156251850912,141.345412819965
333,136.70573478800233,150.27244842203456,136.32096527057658,ACTIVE,137.52354752656058,148.66550012508165,136.82583684462506
366,129.24283622392286,140.71146563259637,129.12274782887295,ACTIVE,133.03324491350494,142.73587112350702,131.64478380128907
400,130.3320266066406,138.36816270838037,127.25886703237336,ACTIVE,126.93601477851402,135.4624351222949,125.03066112584614
433,123.8031888954201,127.63034665163224,121.18103111795617,ACTIVE,121.4058157807129,128.6790234258291,119.12934682545067
466,116.40993411415447,122.70948586972851,113.7385938084636,ACTIVE,116.62106689148857,123.01991078097551,113.73639497980815
500,110.0829081308551,115.98203024258291,106.19829154721835,ACTIVE,112.76033239945569,118.34104310541679,108.89480819487298
533,106.83474992759831,111.99724439685531,101.91500461811721,ACTIVE,109.56754008724903,115.29942047963571,104.66304750489246
566,107.05853501183857,115.21392982573303,103.02417274202755,ACTIVE,106.45358354283363,112.51271357884956,100.84966544894077
600,106.27765721180907,112.75152222401812,99.25830353483903,ACTIVE,104.57220942745855,111.04149734143007,98.14901495796016
633,103.73263401048317,110.15954556586934,95.63794718463653,ACTIVE,103.11738640467473,109.6132577893459,96.17429966802646
666,102.53909725392161,108.97251981433156,94.52454379477466,ACTIVE,101.4710493361278,108.54530953607689,94.43474479182979
700,98.99492472632978,105.41061686846083,92.47577136992236,ACTIVE,99.46150547561422,107.00913371979614,92.49379819149172
733,96.14789801646454,104.9687172327296,89.86314770997868,ACTIVE,97.05274293690753,105.3547427901706,90.15319586746516
766,94.61160098688589,104.77935009111172,88.37682871497064,ACTIVE,94.71595721845296,104.46472520164843,88.19694392757492
800,92.66308944087574,103.99551278468385,86.530096359798,ACTIVE,92.52349721074029,103.89801366314663,86.04045608546278
